# rag-service RAG-MEM-DURABILITY-BAR v2 window — cleaned sample series
# container_id=66656926d503a722aaf223408806a7f0b5fd9fb97e928b5197dd9759365ccaa8
# image=sha256:26e681b0ca3a83c87f7eda787c963d0b7ee18094d805cfbc1862a5db18b3fe8c
# started_at=2026-08-14T20:15:29.147681344Z  restart_count=0  mem_limit_bytes=1073741824
# source=/tmp/rag-durability-measurement/memory-samples.csv (ephemeral; 2391 raw lines, 799 well-formed)
# cleaning=kept only lines matching ^ISO8601,<float>,running$ — raw file corrupted by 3 concurrent samplers writing 2 schemas
# persisted_by=po 2026-08-15T09:5xZ  timestamps strictly monotonic, 0 backward steps
timestamp,used_percent,container_status
2026-08-15T00:27:31Z,94.01,running
2026-08-15T00:28:33Z,94.01,running
2026-08-15T00:29:35Z,95.41,running
2026-08-15T00:30:36Z,95.44,running
2026-08-15T00:31:37Z,95.63,running
2026-08-15T00:32:39Z,94.57,running
2026-08-15T00:33:40Z,94.43,running
2026-08-15T00:34:41Z,94.43,running
2026-08-15T00:35:42Z,94.43,running
2026-08-15T00:36:43Z,94.43,running
2026-08-15T00:37:44Z,94.43,running
2026-08-15T00:38:46Z,93.92,running
2026-08-15T00:39:47Z,93.92,running
2026-08-15T00:40:48Z,93.92,running
2026-08-15T00:41:49Z,48.39,running
2026-08-15T00:42:50Z,83.12,running
2026-08-15T00:43:52Z,83.00,running
2026-08-15T00:44:54Z,83.00,running
2026-08-15T00:45:55Z,83.00,running
2026-08-15T00:46:57Z,83.00,running
2026-08-15T00:47:58Z,83.00,running
2026-08-15T00:48:59Z,83.00,running
2026-08-15T00:50:00Z,83.00,running
2026-08-15T00:51:01Z,83.00,running
2026-08-15T00:52:03Z,83.00,running
2026-08-15T00:53:04Z,83.00,running
2026-08-15T00:54:05Z,83.00,running
2026-08-15T00:55:07Z,83.00,running
2026-08-15T00:56:08Z,83.00,running
2026-08-15T00:57:09Z,83.00,running
2026-08-15T00:58:10Z,39.09,running
2026-08-15T00:59:11Z,75.73,running
2026-08-15T01:00:13Z,75.22,running
2026-08-15T01:01:14Z,75.82,running
2026-08-15T01:02:15Z,75.82,running
2026-08-15T01:03:17Z,75.82,running
2026-08-15T01:04:18Z,75.82,running
2026-08-15T01:05:19Z,75.82,running
2026-08-15T01:06:20Z,75.82,running
2026-08-15T01:07:21Z,75.82,running
2026-08-15T01:08:23Z,75.82,running
2026-08-15T01:09:24Z,75.82,running
