ts,container_id,memory_current_bytes,memory_stat_anon,memory_stat_file,memory_stat_inactive_file,memory_stat_pgscan,memory_stat_pgsteal,memory_stat_workingset_refault_anon,memory_events_max,memory_events_oom,memory_events_oom_kill,vmrss_kib,vmhwm_kib
2026-08-26T10:33:18Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1887105024,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T10:38:20Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886588928,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T10:43:21Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886687232,1692975104,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T10:48:22Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886621696,1692966912,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T10:53:24Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886330880,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T10:58:25Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886830592,1692975104,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T11:03:27Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886326784,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T11:08:28Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886416896,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T11:13:29Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886416896,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T11:18:31Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886064640,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
